date_appel,Entite,Famille,Nombre_entrants_corrige
2023-03-24,Entite 1,F5,37.0
2023-03-25,Entite 1,F5,7.8222222222
2023-03-26,Entite 1,F5,0.0
2023-03-27,Entite 1,F5,62.37
2023-03-28,Entite 1,F5,36.0
2023-03-29,Entite 1,F5,35.848717949
2023-03-30,Entite 1,F5,41.0
2023-03-31,Entite 1,F5,41.0
2023-03-01,Entite 1,F6,1340.4679374
2023-03-02,Entite 1,F6,1307.8398739
2023-03-03,Entite 1,F6,1123.1686414
2023-03-04,Entite 1,F6,308.21204819
2023-03-05,Entite 1,F6,0.0
2023-03-06,Entite 1,F6,1587.7607688
2023-03-07,Entite 1,F6,1471.3654967
2023-03-08,Entite 1,F6,1335.4751326
2023-03-09,Entite 1,F6,1224.3891892
2023-03-10,Entite 1,F6,1222.0102041
2023-03-11,Entite 1,F6,325.94860814
2023-03-12,Entite 1,F6,0.0
2023-03-13,Entite 1,F6,1377.9471978
2023-03-14,Entite 1,F6,1257.5961538
2023-03-15,Entite 1,F6,1223.8777698
2023-03-16,Entite 1,F6,1178.4425966
2023-03-17,Entite 1,F6,995.30144404
2023-03-18,Entite 1,F6,233.75901639
2023-03-19,Entite 1,F6,0.0
2023-03-20,Entite 1,F6,1293.75305
2023-03-21,Entite 1,F6,1188.2040185
2023-03-22,Entite 1,F6,1103.1930685
2023-03-23,Entite 1,F6,950.2841016
2023-03-24,Entite 1,F6,1017.1458296
2023-03-25,Entite 1,F6,270.41666667
2023-03-26,Entite 1,F6,0.0
2023-03-27,Entite 1,F6,1153.5327613
2023-03-28,Entite 1,F6,1050.3024613
2023-03-29,Entite 1,F6,976.7632312
2023-03-30,Entite 1,F6,976.34023831
2023-03-31,Entite 1,F6,864.64444444
2023-03-01,Entite 1,F7,421.62352941
2023-03-02,Entite 1,F7,396.39099526
2023-03-03,Entite 1,F7,363.715
2023-03-04,Entite 1,F7,83.285714286
2023-03-05,Entite 1,F7,0.0
2023-03-06,Entite 1,F7,426.70043103
2023-03-07,Entite 1,F7,426.23921569
2023-03-08,Entite 1,F7,492.54770642
2023-03-09,Entite 1,F7,462.06903766
2023-03-10,Entite 1,F7,421.10530973
2023-03-11,Entite 1,F7,131.68867925
2023-03-12,Entite 1,F7,0.0
2023-03-13,Entite 1,F7,431.67710843
2023-03-14,Entite 1,F7,419.75221239
2023-03-15,Entite 1,F7,360.33567839
2023-03-16,Entite 1,F7,396.55
