Date,Entite,instance,Nb_recus
2023-03-03,Entite 5,COMMERCE,128.0
2023-03-04,Entite 5,COMMERCE,30.0
2023-03-05,Entite 5,COMMERCE,6.0
2023-03-06,Entite 5,COMMERCE,185.0
2023-03-07,Entite 5,COMMERCE,155.0
2023-03-08,Entite 5,COMMERCE,175.0
2023-03-09,Entite 5,COMMERCE,125.0
2023-03-10,Entite 5,COMMERCE,110.0
2023-03-11,Entite 5,COMMERCE,33.0
2023-03-12,Entite 5,COMMERCE,4.0
2023-03-13,Entite 5,COMMERCE,165.0
2023-03-14,Entite 5,COMMERCE,168.0
2023-03-15,Entite 5,COMMERCE,142.0
2023-03-16,Entite 5,COMMERCE,111.0
2023-03-17,Entite 5,COMMERCE,155.0
2023-03-18,Entite 5,COMMERCE,33.0
2023-03-19,Entite 5,COMMERCE,4.0
2023-03-20,Entite 5,COMMERCE,130.0
2023-03-21,Entite 5,COMMERCE,156.0
2023-03-22,Entite 5,COMMERCE,125.0
2023-03-23,Entite 5,COMMERCE,97.0
2023-03-24,Entite 5,COMMERCE,91.0
2023-03-25,Entite 5,COMMERCE,38.0
2023-03-26,Entite 5,COMMERCE,5.0
2023-03-27,Entite 5,COMMERCE,108.0
2023-03-28,Entite 5,COMMERCE,135.0
2023-03-29,Entite 5,COMMERCE,113.0
2023-03-30,Entite 5,COMMERCE,124.0
2023-03-31,Entite 5,COMMERCE,100.0
2023-03-01,Entite 5,SAV,461.0
2023-03-02,Entite 5,SAV,380.0
2023-03-03,Entite 5,SAV,390.0
2023-03-04,Entite 5,SAV,221.0
2023-03-05,Entite 5,SAV,152.0
2023-03-06,Entite 5,SAV,452.0
2023-03-07,Entite 5,SAV,535.0
2023-03-08,Entite 5,SAV,379.0
2023-03-09,Entite 5,SAV,542.0
2023-03-10,Entite 5,SAV,411.0
2023-03-11,Entite 5,SAV,208.0
2023-03-12,Entite 5,SAV,163.0
2023-03-13,Entite 5,SAV,414.0
2023-03-14,Entite 5,SAV,487.0
2023-03-15,Entite 5,SAV,473.0
2023-03-16,Entite 5,SAV,485.0
2023-03-17,Entite 5,SAV,372.0
2023-03-18,Entite 5,SAV,165.0
2023-03-19,Entite 5,SAV,154.0
2023-03-20,Entite 5,SAV,401.0
2023-03-21,Entite 5,SAV,441.0
2023-03-22,Entite 5,SAV,492.0
2023-03-23,Entite 5,SAV,420.0
2023-03-24,Entite 5,SAV,389.0
2023-03-25,Entite 5,SAV,165.0
2023-03-26,Entite 5,SAV,139.0
2023-03-27,Entite 5,SAV,369.0
2023-03-28,Entite 5,SAV,493.0
2023-03-29,Entite 5,SAV,428.0
