Entite,Famille,Features,Importances
entite,famille,t-1,0.22555485
entite,famille,t-2,0.035719667
entite,famille,t-3,0.012955175
entite,famille,t-4,0.01467702
entite,famille,t-5,0.008864338
entite,famille,t-6,0.01552167
entite,famille,t-7,0.050810255
entite,famille,jour,0.0071380255
entite,famille,joursemaine,0.015905252
entite,famille,mois,0.016716484
entite,famille,annee,0.009463332
entite,famille,semaine,0.08477154
entite,famille,Ferie,8.501247e-05
entite,famille,avant_Ferie,0.0017098008
entite,famille,après_Ferie,0.48894188
entite,famille,solde_ete,0.0047589787
entite,famille,solde_hiver,0.006406706
entite,famille,t-1,0.10784484
entite,famille,t-2,0.010361901
entite,famille,t-3,0.008690066
entite,famille,t-4,0.009124633
entite,famille,t-5,0.007782719
entite,famille,t-6,0.0115197105
entite,famille,t-7,0.0071419086
entite,famille,jour,0.007212628
entite,famille,joursemaine,0.057553
entite,famille,mois,0.0067101046
entite,famille,annee,0.010103195
entite,famille,semaine,0.02985748
entite,famille,Ferie,0.01229967
entite,famille,avant_Ferie,0.009569785
entite,famille,après_Ferie,0.6909112
entite,famille,solde_ete,0.0035096908
entite,famille,solde_hiver,0.0098076165
entite,famille,t-1,0.14427316
entite,famille,t-2,0.026845988
entite,famille,t-3,0.0044591646
entite,famille,t-4,0.001188405
entite,famille,t-5,0.0032742352
entite,famille,t-6,0.0017752975
entite,famille,t-7,0.008179164
entite,famille,jour,0.0058777947
entite,famille,joursemaine,0.2530511
entite,famille,mois,0.0027127098
entite,famille,annee,0.0014156695
entite,famille,semaine,0.016904103
entite,famille,Ferie,0.0042233053
entite,famille,avant_Ferie,0.0023095182
entite,famille,après_Ferie,0.5183229
entite,famille,solde_ete,0.0011127834
entite,famille,solde_hiver,0.004074763
entite,famille,t-1,0.1833251
entite,famille,t-2,0.024287352
entite,famille,t-3,0.013230932
entite,famille,t-4,0.0051887627
entite,famille,t-5,0.00587066
entite,famille,t-6,0.001446548
entite,famille,t-7,0.02053471
entite,famille,jour,0.0039320667
entite,famille,joursemaine,0.2273295
entite,famille,mois,0.0023933863
entite,famille,annee,0.0014589806
entite,famille,semaine,0.0035015952
entite,famille,Ferie,0.000540836
entite,famille,avant_Ferie,0.0002562266
entite,famille,après_Ferie,0.50406563
entite,famille,solde_ete,0.00082207547
entite,famille,solde_hiver,0.0018157198
entite,famille,t-1,0.11071727
entite,famille,t-2,0.014913381
entite,famille,t-3,0.00668723
entite,famille,t-4,0.0022446127
entite,famille,t-5,0.003406888
entite,famille,t-6,0.0015158656
entite,famille,t-7,0.019190341
entite,famille,jour,0.0072746505
entite,famille,joursemaine,0.4011874
entite,famille,mois,0.0033099283
entite,famille,annee,0.0033912605
entite,famille,semaine,0.0022784593
entite,famille,Ferie,0.002288004
entite,famille,avant_Ferie,0.0011672365
entite,famille,après_Ferie,0.41797426
entite,famille,solde_ete,0.0011038372
entite,famille,solde_hiver,0.0013494915
entite,famille,t-1,0.22910263
entite,famille,t-2,0.04246687
entite,famille,t-3,0.01087123
entite,famille,t-4,0.01670878
entite,famille,t-5,0.032308638
entite,famille,t-6,0.077823535
entite,famille,t-7,0.07642092
entite,famille,jour,0.014241513
entite,famille,joursemaine,0.08440784
entite,famille,mois,0.005324758
entite,famille,annee,0.010600437
entite,famille,semaine,0.006133555
entite,famille,Ferie,0.0002452329
entite,famille,avant_Ferie,0.030912066
entite,famille,après_Ferie,0.35644585
entite,famille,solde_ete,0.0013472692
entite,famille,solde_hiver,0.004638894
entite,famille,t-1,0.18593821
entite,famille,t-2,0.008680771
entite,famille,t-3,0.007879248
entite,famille,t-4,0.006575834
entite,famille,t-5,0.0023883402
entite,famille,t-6,0.015077421
entite,famille,t-7,0.02231145
entite,famille,jour,0.0027241688
entite,famille,joursemaine,0.004659483
entite,famille,mois,0.019502025
entite,famille,annee,0.00056840654
entite,famille,semaine,0.009859507
entite,famille,Ferie,0.013444601
entite,famille,avant_Ferie,0.002590825
entite,famille,après_Ferie,0.6941492
entite,famille,solde_ete,0.00036168343
entite,famille,solde_hiver,0.0032889333
entite,famille,t-1,0.15166363
entite,famille,t-2,0.010137545
entite,famille,t-3,0.012418438
entite,famille,t-4,0.008923484
entite,famille,t-5,0.004808248
entite,famille,t-6,0.014630404
entite,famille,t-7,0.010168881
entite,famille,jour,0.004807477
entite,famille,joursemaine,0.009780573
entite,famille,mois,0.004649024
entite,famille,annee,0.002018466
entite,famille,semaine,0.012401503
entite,famille,Ferie,0.0038769932
entite,famille,avant_Ferie,0.0010413992
entite,famille,après_Ferie,0.7297539
entite,famille,solde_ete,0.0035627896
entite,famille,solde_hiver,0.015357222
entite,famille,t-1,0.17489178
entite,famille,t-2,0.027816556
entite,famille,t-3,0.013365935
entite,famille,t-4,0.0027221509
entite,famille,t-5,0.0025998564
entite,famille,t-6,0.0012890432
entite,famille,t-7,0.011949892
entite,famille,jour,0.0034909463
entite,famille,joursemaine,0.2275373
entite,famille,mois,0.0023231613
entite,famille,annee,0.0005874007
entite,famille,semaine,0.0022412017
entite,famille,Ferie,0.0027695403
entite,famille,avant_Ferie,0.0007230222
entite,famille,après_Ferie,0.5242548
entite,famille,solde_ete,0.00067687914
entite,famille,solde_hiver,0.0007604937
