model,Entite,Famille,mape,mase,mae,mse
Xgboost,Entite 1,F1,38.870156443912066,1.255808148909049,0.27848357199508966,0.1176779833293633
Xgboost,Entite 2,F1,155.31734715225977,0.6333907711457284,0.11386775843858721,0.019802182589303614
Xgboost,Entite 5,F1,7.887122032209957,0.8550613427556074,0.06833055841274653,0.008168112286443107
Xgboost,Entite 1,F2,8.489243095372244,0.4388689995722472,0.061343542248651434,0.00586514435185872
Xgboost,Entite 2,F2,70.86623910739426,1.8253766084638892,0.22278581824989124,0.06586192522592585
Xgboost,Entite 3,F2,30.238145787593535,0.9474361404614806,0.16507025763470498,0.047908946044457376
Xgboost,Entite 5,F2,10.961978976019775,0.859958320283219,0.06337194930203617,0.006662017636290223
Xgboost,Entite 1,F3,339.2680903177122,0.3815707077456067,0.07879772093005383,0.01081678308037211
Xgboost,Entite 2,F3,250.92954265496044,0.41594920379916955,0.08770654001665709,0.016121465112529876
Xgboost,Entite 5,F3,830.8999354006966,0.579565001062326,0.08924402663442564,0.030680813377941905
Xgboost,Entite 1,F5,132.47479198957888,0.7070232118747714,0.12549544195498655,0.0310902826110381
Xgboost,Entite 3,F5,55.811200026535055,1.8906936573233812,0.26434662754787985,0.13157567365158734
Xgboost,Entite 4,F5,182.02062108493996,1.4308480762859155,0.3358390110908993,0.20359499245863535
Xgboost,Entite 5,F5,52.75751256180301,0.6632598755327747,0.10718113009722491,0.01811429835711238
Xgboost,Entite 1,F6,178.59300147998192,0.4687506875070588,0.07499990438281418,0.008825270699451736
Xgboost,Entite 5,F6,84.45350231851162,0.48408884936786717,0.07442617256707497,0.010746319803253877
Xgboost,Entite 1,F7,2.8470054524628514,0.39384336620807464,0.021452276863342907,0.0008205768816138782
Xgboost,Entite 3,F7,667.0950469149673,1.6419816516688,0.22528288153598908,0.0962834117455006
Xgboost,Entite 4,F7,569.822443252548,1.1590024679890554,0.18014954926355992,0.058077477456319165
Xgboost,Entite 5,F7,18.966652958016596,0.4811247557141019,0.0749161949923393,0.010523854609998788
