date_appel,Entite,Famille,Nombre_entrants_corrige
2019-01-11,Entite 1,F7,819.0
2019-01-11,Entite 2,F1,1853.0
2019-01-11,Entite 2,F2,1007.0
2019-01-11,Entite 2,F3,422.0
2019-01-11,Entite 2,F5,1.0
2019-01-11,Entite 3,F2,4.0
2019-01-11,Entite 3,F5,409.0
2019-01-11,Entite 3,F7,806.0
2019-01-11,Entite 4,F5,41.0
2019-01-11,Entite 4,F7,298.0
2019-01-11,Entite 5,F2,777.0
2019-01-11,Entite 5,F3,39.0
2019-01-11,Entite 5,F5,500.0
2019-01-11,Entite 5,F6,809.0
2019-01-11,Entite 5,F7,4037.0
2019-01-12,Entite 1,F2,22.0
2019-01-12,Entite 1,F3,54.0
2019-01-12,Entite 1,F4,1.0
2019-01-12,Entite 1,F5,15.0
2019-01-12,Entite 1,F6,516.0
2019-01-12,Entite 1,F7,211.0
2019-01-12,Entite 2,F1,496.0
2019-01-12,Entite 2,F2,303.0
2019-01-12,Entite 2,F3,122.0
2019-01-12,Entite 3,F7,36.0
2019-01-12,Entite 5,F2,198.0
2019-01-12,Entite 5,F3,27.0
2019-01-12,Entite 5,F5,108.0
2019-01-12,Entite 5,F6,570.0
2019-01-12,Entite 5,F7,1197.0
2019-01-14,Entite 1,F2,231.0
2019-01-14,Entite 1,F3,307.0
2019-01-14,Entite 1,F4,1.0
2019-01-14,Entite 1,F5,154.0
2019-01-14,Entite 1,F6,1614.0
2019-01-14,Entite 1,F7,1118.0
2019-01-14,Entite 2,F1,2145.0
2019-01-14,Entite 2,F2,1277.0
2019-01-14,Entite 2,F3,479.0
2019-01-14,Entite 3,F2,12.0
2019-01-14,Entite 3,F5,530.0
2019-01-14,Entite 3,F7,973.0
2019-01-14,Entite 4,F5,62.0
2019-01-14,Entite 4,F7,552.0
2019-01-14,Entite 5,F1,5.0
2019-01-14,Entite 5,F2,1072.0
2019-01-14,Entite 5,F3,55.0
2019-01-14,Entite 5,F5,526.0
2019-01-14,Entite 5,F6,816.0
2019-01-14,Entite 5,F7,5221.0
2019-01-15,Entite 1,F2,153.0
2019-01-15,Entite 1,F3,288.0
2019-01-15,Entite 1,F5,119.0
2019-01-15,Entite 1,F6,1495.0
2019-01-15,Entite 1,F7,933.0
2019-01-15,Entite 2,F1,2013.0
2019-01-15,Entite 2,F2,1219.0
2019-01-15,Entite 2,F3,414.0
2019-01-15,Entite 2,F5,1.0
2019-01-15,Entite 3,F2,7.0
2019-01-15,Entite 3,F5,464.0
2019-01-15,Entite 3,F7,987.0
2019-01-15,Entite 4,F5,73.0
2019-01-15,Entite 4,F7,506.0
2019-01-15,Entite 5,F2,957.0
2019-01-15,Entite 5,F3,44.0
2019-01-15,Entite 5,F5,527.0
2019-01-15,Entite 5,F6,609.0
2019-01-15,Entite 5,F7,4503.0
2019-01-16,Entite 1,F1,23.0
2019-01-16,Entite 1,F2,158.0
2019-01-16,Entite 1,F3,257.0
2019-01-16,Entite 1,F5,123.0
2019-01-16,Entite 1,F6,1513.0
2019-01-16,Entite 1,F7,885.0
2019-01-16,Entite 2,F1,1986.0
2019-01-16,Entite 2,F2,1164.0
2019-01-16,Entite 2,F3,401.0
2019-01-16,Entite 3,F2,13.0
2019-01-16,Entite 3,F5,478.0
2019-01-16,Entite 3,F7,816.0
2019-01-16,Entite 4,F5,77.0
2019-01-16,Entite 4,F7,372.0
2019-01-16,Entite 5,F1,2.0
2019-01-16,Entite 5,F2,978.0
2019-01-16,Entite 5,F3,39.0
2019-01-16,Entite 5,F5,485.0
2019-01-16,Entite 5,F6,683.0
2019-01-16,Entite 5,F7,4275.0
2019-01-17,Entite 1,F1,21.0
2019-01-17,Entite 1,F2,183.0
2019-01-17,Entite 1,F3,273.0
2019-01-17,Entite 1,F5,77.0
2019-01-17,Entite 1,F6,1472.0
2019-01-17,Entite 1,F7,703.0
2019-01-17,Entite 2,F1,1833.0
2019-01-17,Entite 2,F2,1065.0
2019-01-17,Entite 2,F3,375.0
2019-01-17,Entite 3,F2,24.0
2019-01-17,Entite 3,F5,448.0
2019-01-17,Entite 3,F7,781.0
2019-01-17,Entite 4,F5,50.0
2019-01-17,Entite 4,F7,316.0
2019-01-17,Entite 5,F1,61.0
2019-01-17,Entite 5,F2,860.0
2019-01-17,Entite 5,F3,35.0
2019-01-17,Entite 5,F5,494.0
2019-01-17,Entite 5,F6,720.0
2019-01-17,Entite 5,F7,3730.0
2019-01-18,Entite 1,F1,39.0
2019-01-18,Entite 1,F2,239.0
2019-01-18,Entite 1,F3,235.0
2019-01-18,Entite 1,F5,94.0
2019-01-18,Entite 1,F6,1500.0
2019-01-18,Entite 1,F7,644.0
2019-01-18,Entite 2,F1,1822.0
2019-01-18,Entite 2,F2,1260.0
2019-01-18,Entite 2,F3,335.0
2019-01-18,Entite 2,F5,1.0
2019-01-18,Entite 3,F2,17.0
2019-01-18,Entite 3,F5,418.0
2019-01-18,Entite 3,F7,739.0
2019-01-18,Entite 4,F5,56.0
2019-01-18,Entite 4,F7,332.0
2019-01-18,Entite 5,F1,29.0
2019-01-18,Entite 5,F2,867.0
2019-01-18,Entite 5,F3,40.0
2019-01-18,Entite 5,F5,509.0
2019-01-18,Entite 5,F6,705.0
2019-01-18,Entite 5,F7,3678.0
2019-01-19,Entite 1,F1,4.0
2019-01-19,Entite 1,F2,21.0
2019-01-19,Entite 1,F3,102.0
2019-01-19,Entite 1,F5,14.0
2019-01-19,Entite 1,F6,548.0
2019-01-19,Entite 1,F7,259.0
