date_appel;Entite;Famille;Nombre_entrants_corrige
11/01/2019;Entite 1;F2;176
11/01/2019;Entite 1;F3;266
11/01/2019;Entite 1;F4;2
11/01/2019;Entite 1;F5;117
11/01/2019;Entite 1;F6;1548
11/01/2019;Entite 1;F7;819
11/01/2019;Entite 2;F1;1853
11/01/2019;Entite 2;F2;1007
11/01/2019;Entite 2;F3;422
11/01/2019;Entite 2;F5;1
11/01/2019;Entite 3;F2;4
11/01/2019;Entite 3;F5;409
11/01/2019;Entite 3;F7;806
11/01/2019;Entite 4;F5;41
11/01/2019;Entite 4;F7;298
11/01/2019;Entite 5;F2;777
11/01/2019;Entite 5;F3;39
11/01/2019;Entite 5;F5;500
11/01/2019;Entite 5;F6;809
11/01/2019;Entite 5;F7;4037
12/01/2019;Entite 1;F2;22
12/01/2019;Entite 1;F3;54
12/01/2019;Entite 1;F4;1
12/01/2019;Entite 1;F5;15
12/01/2019;Entite 1;F6;516
12/01/2019;Entite 1;F7;211
12/01/2019;Entite 2;F1;496
12/01/2019;Entite 2;F2;303
12/01/2019;Entite 2;F3;122
12/01/2019;Entite 3;F7;36
12/01/2019;Entite 5;F2;198
12/01/2019;Entite 5;F3;27
12/01/2019;Entite 5;F5;108
12/01/2019;Entite 5;F6;570
12/01/2019;Entite 5;F7;1197
14/01/2019;Entite 1;F2;231
14/01/2019;Entite 1;F3;307
14/01/2019;Entite 1;F4;1
14/01/2019;Entite 1;F5;154
14/01/2019;Entite 1;F6;1614
14/01/2019;Entite 1;F7;1118
14/01/2019;Entite 2;F1;2145
14/01/2019;Entite 2;F2;1277
14/01/2019;Entite 2;F3;479
14/01/2019;Entite 3;F2;12
14/01/2019;Entite 3;F5;530
14/01/2019;Entite 3;F7;973
14/01/2019;Entite 4;F5;62
14/01/2019;Entite 4;F7;552
14/01/2019;Entite 5;F1;5
14/01/2019;Entite 5;F2;1072
14/01/2019;Entite 5;F3;55
14/01/2019;Entite 5;F5;526
14/01/2019;Entite 5;F6;816
14/01/2019;Entite 5;F7;5221
15/01/2019;Entite 1;F2;153
15/01/2019;Entite 1;F3;288
15/01/2019;Entite 1;F5;119
15/01/2019;Entite 1;F6;1495
15/01/2019;Entite 1;F7;933
15/01/2019;Entite 2;F1;2013
15/01/2019;Entite 2;F2;1219
15/01/2019;Entite 2;F3;414
15/01/2019;Entite 2;F5;1
15/01/2019;Entite 3;F2;7
15/01/2019;Entite 3;F5;464
15/01/2019;Entite 3;F7;987
15/01/2019;Entite 4;F5;73
15/01/2019;Entite 4;F7;506
15/01/2019;Entite 5;F2;957
15/01/2019;Entite 5;F3;44
15/01/2019;Entite 5;F5;527
15/01/2019;Entite 5;F6;609
15/01/2019;Entite 5;F7;4503
16/01/2019;Entite 1;F1;23
16/01/2019;Entite 1;F2;158
16/01/2019;Entite 1;F3;257
16/01/2019;Entite 1;F5;123
16/01/2019;Entite 1;F6;1513
16/01/2019;Entite 1;F7;885
16/01/2019;Entite 2;F1;1986
16/01/2019;Entite 2;F2;1164
16/01/2019;Entite 2;F3;401
16/01/2019;Entite 3;F2;13
16/01/2019;Entite 3;F5;478
16/01/2019;Entite 3;F7;816
16/01/2019;Entite 4;F5;77
16/01/2019;Entite 4;F7;372
16/01/2019;Entite 5;F1;2
16/01/2019;Entite 5;F2;978
16/01/2019;Entite 5;F3;39
16/01/2019;Entite 5;F5;485
16/01/2019;Entite 5;F6;683
16/01/2019;Entite 5;F7;4275
17/01/2019;Entite 1;F1;21
17/01/2019;Entite 1;F2;183
17/01/2019;Entite 1;F3;273
17/01/2019;Entite 1;F5;77
17/01/2019;Entite 1;F6;1472
17/01/2019;Entite 1;F7;703
17/01/2019;Entite 2;F1;1833
17/01/2019;Entite 2;F2;1065
17/01/2019;Entite 2;F3;375
17/01/2019;Entite 3;F2;24
17/01/2019;Entite 3;F5;448
17/01/2019;Entite 3;F7;781
17/01/2019;Entite 4;F5;50
17/01/2019;Entite 4;F7;316
17/01/2019;Entite 5;F1;61
17/01/2019;Entite 5;F2;860
17/01/2019;Entite 5;F3;35
17/01/2019;Entite 5;F5;494
17/01/2019;Entite 5;F6;720
17/01/2019;Entite 5;F7;3730
18/01/2019;Entite 1;F1;39
18/01/2019;Entite 1;F2;239
18/01/2019;Entite 1;F3;235
18/01/2019;Entite 1;F5;94
18/01/2019;Entite 1;F6;1500
18/01/2019;Entite 1;F7;644
18/01/2019;Entite 2;F1;1822
18/01/2019;Entite 2;F2;1260
18/01/2019;Entite 2;F3;335
18/01/2019;Entite 2;F5;1
18/01/2019;Entite 3;F2;17
18/01/2019;Entite 3;F5;418
18/01/2019;Entite 3;F7;739
18/01/2019;Entite 4;F5;56
18/01/2019;Entite 4;F7;332
18/01/2019;Entite 5;F1;29
18/01/2019;Entite 5;F2;867
18/01/2019;Entite 5;F3;40
18/01/2019;Entite 5;F5;509
18/01/2019;Entite 5;F6;705
18/01/2019;Entite 5;F7;3678
19/01/2019;Entite 1;F1;4
19/01/2019;Entite 1;F2;21
19/01/2019;Entite 1;F3;102
19/01/2019;Entite 1;F5;14
19/01/2019;Entite 1;F6;548
19/01/2019;Entite 1;F7;259
19/01/2019;Entite 2;F1;474
19/01/2019;Entite 2;F2;309
19/01/2019;Entite 2;F3;97
19/01/2019;Entite 3;F2;1
19/01/2019;Entite 3;F7;31
19/01/2019;Entite 5;F1;11
19/01/2019;Entite 5;F2;203
19/01/2019;Entite 5;F3;28
19/01/2019;Entite 5;F5;145
19/01/2019;Entite 5;F6;469
19/01/2019;Entite 5;F7;1028
21/01/2019;Entite 1;F1;45
21/01/2019;Entite 1;F2;252
21/01/2019;Entite 1;F3;303
21/01/2019;Entite 1;F4;1
21/01/2019;Entite 1;F5;136
21/01/2019;Entite 1;F6;1793
21/01/2019;Entite 1;F7;837
21/01/2019;Entite 2;F1;2163
21/01/2019;Entite 2;F2;1298
21/01/2019;Entite 2;F3;517
21/01/2019;Entite 2;F5;2
21/01/2019;Entite 3;F2;9
21/01/2019;Entite 3;F5;595
21/01/2019;Entite 3;F7;1042
21/01/2019;Entite 4;F5;40
21/01/2019;Entite 4;F7;550
21/01/2019;Entite 5;F1;61
21/01/2019;Entite 5;F2;953
21/01/2019;Entite 5;F3;35
21/01/2019;Entite 5;F5;534
21/01/2019;Entite 5;F6;702
21/01/2019;Entite 5;F7;4471
22/01/2019;Entite 1;F1;58
22/01/2019;Entite 1;F2;205
22/01/2019;Entite 1;F3;295
22/01/2019;Entite 1;F5;122
22/01/2019;Entite 1;F6;1778
22/01/2019;Entite 1;F7;879
22/01/2019;Entite 2;F1;1909
22/01/2019;Entite 2;F2;1284
22/01/2019;Entite 2;F3;455
22/01/2019;Entite 3;F2;10
22/01/2019;Entite 3;F5;499
22/01/2019;Entite 3;F7;966
22/01/2019;Entite 4;F5;37
22/01/2019;Entite 4;F7;401
22/01/2019;Entite 5;F1;41
22/01/2019;Entite 5;F2;979
22/01/2019;Entite 5;F3;31
22/01/2019;Entite 5;F5;586
22/01/2019;Entite 5;F6;591
22/01/2019;Entite 5;F7;4212
23/01/2019;Entite 1;F1;61
23/01/2019;Entite 1;F2;160
23/01/2019;Entite 1;F3;215
23/01/2019;Entite 1;F5;121
23/01/2019;Entite 1;F6;1585
23/01/2019;Entite 1;F7;808
23/01/2019;Entite 2;F1;1695
23/01/2019;Entite 2;F2;1119
23/01/2019;Entite 2;F3;367
23/01/2019;Entite 3;F2;29
23/01/2019;Entite 3;F5;504
23/01/2019;Entite 3;F7;884
23/01/2019;Entite 4;F5;51
23/01/2019;Entite 4;F7;428
23/01/2019;Entite 5;F1;26
23/01/2019;Entite 5;F2;894
23/01/2019;Entite 5;F3;26
23/01/2019;Entite 5;F5;475
23/01/2019;Entite 5;F6;608
23/01/2019;Entite 5;F7;3834
24/01/2019;Entite 1;F1;44
24/01/2019;Entite 1;F2;185
24/01/2019;Entite 1;F3;247
24/01/2019;Entite 1;F5;102
24/01/2019;Entite 1;F6;1629
24/01/2019;Entite 1;F7;830
24/01/2019;Entite 2;F1;1581
24/01/2019;Entite 2;F2;1125
24/01/2019;Entite 2;F3;326
24/01/2019;Entite 3;F2;23
24/01/2019;Entite 3;F5;431
24/01/2019;Entite 3;F7;880
24/01/2019;Entite 4;F5;43
24/01/2019;Entite 4;F7;361
24/01/2019;Entite 5;F1;39
24/01/2019;Entite 5;F2;865
24/01/2019;Entite 5;F3;36
24/01/2019;Entite 5;F5;498
24/01/2019;Entite 5;F6;555
24/01/2019;Entite 5;F7;3770
25/01/2019;Entite 1;F1;30
25/01/2019;Entite 1;F2;192
25/01/2019;Entite 1;F3;216
25/01/2019;Entite 1;F5;110
25/01/2019;Entite 1;F6;1630
25/01/2019;Entite 1;F7;1037
25/01/2019;Entite 2;F1;1571
25/01/2019;Entite 2;F2;1074
25/01/2019;Entite 2;F3;340
25/01/2019;Entite 2;F5;1
25/01/2019;Entite 3;F2;22
25/01/2019;Entite 3;F5;537
25/01/2019;Entite 3;F7;987
25/01/2019;Entite 4;F5;57
25/01/2019;Entite 4;F7;314
25/01/2019;Entite 5;F1;26
25/01/2019;Entite 5;F2;890
25/01/2019;Entite 5;F3;33
25/01/2019;Entite 5;F5;544
25/01/2019;Entite 5;F6;632
25/01/2019;Entite 5;F7;4367
26/01/2019;Entite 1;F1;3
26/01/2019;Entite 1;F2;25
26/01/2019;Entite 1;F3;56
26/01/2019;Entite 1;F5;16
26/01/2019;Entite 1;F6;562
26/01/2019;Entite 1;F7;301
26/01/2019;Entite 2;F1;364
26/01/2019;Entite 2;F2;260
26/01/2019;Entite 2;F3;82
26/01/2019;Entite 3;F2;3
26/01/2019;Entite 3;F7;31
26/01/2019;Entite 5;F1;11
26/01/2019;Entite 5;F2;183
26/01/2019;Entite 5;F3;24
26/01/2019;Entite 5;F5;110
26/01/2019;Entite 5;F6;481
26/01/2019;Entite 5;F7;1059
28/01/2019;Entite 1;F1;33
28/01/2019;Entite 1;F2;211
28/01/2019;Entite 1;F3;255
28/01/2019;Entite 1;F5;125
28/01/2019;Entite 1;F6;1918
28/01/2019;Entite 1;F7;1068
28/01/2019;Entite 2;F1;1953
28/01/2019;Entite 2;F2;1158
28/01/2019;Entite 2;F3;411
28/01/2019;Entite 3;F2;36
28/01/2019;Entite 3;F5;623
28/01/2019;Entite 3;F7;1285
28/01/2019;Entite 4;F5;51
28/01/2019;Entite 4;F7;547
28/01/2019;Entite 5;F1;46
28/01/2019;Entite 5;F2;960
28/01/2019;Entite 5;F3;52
28/01/2019;Entite 5;F5;641
28/01/2019;Entite 5;F6;757
28/01/2019;Entite 5;F7;4854
29/01/2019;Entite 1;F1;36
29/01/2019;Entite 1;F2;174
29/01/2019;Entite 1;F3;242
29/01/2019;Entite 1;F5;100
29/01/2019;Entite 1;F6;1645
29/01/2019;Entite 1;F7;844
29/01/2019;Entite 2;F1;1764
29/01/2019;Entite 2;F2;1078
29/01/2019;Entite 2;F3;304
29/01/2019;Entite 3;F2;3
29/01/2019;Entite 3;F5;450
29/01/2019;Entite 3;F7;1205
29/01/2019;Entite 4;F5;43
