model,Entite,Famille,mape,mase,mae,mse
NaiveSeasonal,Entite 1,F1,35.60848192903545,0.7275336250761899,0.16133528264947367,0.04598485919881162
NaiveSeasonal,Entite 2,F1,275.39198836532626,1.1640878202863276,0.20927376393864114,0.06547230158574835
NaiveSeasonal,Entite 5,F1,5.343782990718233,0.5404509616482931,0.043189083820725144,0.005441540910976851
NaiveSeasonal,Entite 1,F2,8.396469076227753,0.42009371708091686,0.05871920027904349,0.006089811475572704
NaiveSeasonal,Entite 2,F2,42.3785159649504,0.9978050410559847,0.12178134172136323,0.023582873364622343
NaiveSeasonal,Entite 3,F2,45.144072372312756,1.4815300982151944,0.258124579126602,0.13340082707184095
NaiveSeasonal,Entite 5,F2,11.41435692128725,0.8778887289747616,0.06469327491022499,0.007093789707370588
NaiveSeasonal,Entite 1,F3,514.9292044434866,0.8815449491930102,0.18204681723137092,0.07078538059333561
NaiveSeasonal,Entite 2,F3,1726.234351665497,0.8614162960843154,0.18163718587137337,0.06926128858747362
NaiveSeasonal,Entite 5,F3,668.0361779156228,0.980466706161184,0.15097667505530846,0.05816518453404206
NaiveSeasonal,Entite 1,F5,724.4844603446603,1.2945224154519221,0.2297755716067638,0.08587817979475781
NaiveSeasonal,Entite 3,F5,42.93244320461926,1.1232852917392384,0.15705171353130343,0.042690640860624574
NaiveSeasonal,Entite 4,F5,336.57501390191896,1.2967391751302435,0.3043618742172791,0.18199505755378867
NaiveSeasonal,Entite 5,F5,92.6000945801324,1.817848959131314,0.29375982623590857,0.13919368857194347
NaiveSeasonal,Entite 1,F6,309.24520215617326,1.7481110071041277,0.27969699432468614,0.11427415465770614
NaiveSeasonal,Entite 5,F6,284.0270666407064,1.2529186273141057,0.19262979944848949,0.05787777602762667
NaiveSeasonal,Entite 1,F7,5.024275407682622,0.6914455200386281,0.037662385619439825,0.002483593911429086
NaiveSeasonal,Entite 3,F7,683.0443675052836,2.01028085170007,0.2758142044445718,0.12623569048490485
NaiveSeasonal,Entite 4,F7,1233.6900140677085,2.0228268001280054,0.3144180848152867,0.15528596486545523
NaiveSeasonal,Entite 5,F7,55.57028440518283,1.673462773805972,0.26057579034525363,0.11688846273496856
